TIER,Categories,List / Link,Contact,Follower,Cost,,,,Condition,REMARK*
MACRO,Lifestyle,katekatyg,@857ocwce,713.7K,"ช่อง เคท ขายตลกไปจนอายุ60
@katekatyg followers 650k+

●เรทรับงานรีวิว/โปรโมทสินค้า(หมวดทั่วไป)

25000/คลิป
+ติดตะกร้าฟรี ✅️
+Gencode ฟรี 30 วัน✅️
+สามารถนำคลิปไปใช้ต่อได้ค่ะไม่คิดเพิ่ม✅️
●ห้ามลดคอมมิชชั่นในสินค้าที่ตกลงกันตั้งแต่แรกนะคะ 

จ้างแบบหลายคลิป 
5 คลิป 115,000
10 คลิป 220,000

●ต้องการใช้ gencode เพิ่ม
7 วัน 5000
30 วัน 12000 
60 วัน 18000
365 วัน 25000

●กรณีที่tiktokให้ละเมิดและเอาสินค้าในตะกร้าช่องออกลูกค้า
ต้องการใส่สินค้าในตะกร้าแทน ลูกค้าต้องจ่ายค่าgencode นะคะ 
ในกรณีที่ลูกค้าไม่จ่ายค่าgencode แล้วบังเอิญเจอแอด 
ทางเราขออนุญาต ยกเลิกการใช้คลิปทุกกรณีนะคะ

-ลงคิวแล้ว ใช้เวลาในการถ่ายคลิปและตัดต่อ 5-7 วัน 
-ไม่รับงานหัก 3%ค่ะ รับเต็ม 
-ไม่ติดเรื่องเครดิตเทอม 

●แก้ไขงานได้จนกว่าทางผู้จ้างจะพอใจคะ
●สามารถบรีฟงาน แบบละเอียด ร่วมกันได้ก่อนเริ่มงานค่ะ",,,,,
MACRO,"Lifestyle, Beauty",aom_ch,"Line For Work : aom4work
IG : Chr.zzz
(ไม่ติดสัญญาทุกสินค้า)","975.4K
","1. Tiktok Video =80,000฿
2. ติดตะกร้า Tiktok Shop เพิ่ม 20,000฿
3. Gen code ฟรีสูงสุด 60 วัน 
4. Asset กรณีแบรนด์นำคลิปไปใช้  
(ไม่มีการตัด ดัดแปลง สร้างคลิปใหม่ )
1 เดือน7,000฿ 
2เดือน 12,000฿ 
3เดือน 15,000฿ 

** เน้นทำคลิปสไตล์ของช่องตัวเอง ไม่สะดวกพูดรีวิวจ๋าๆ ที่มีสคริปต์ 
หรือมีTextในคลิป!!!
เน้นทำคลิปตามสไตล์ตัวเอง ให้คนดูรู้สึกถึงการไม่ยัดเยียดสินค้า 
ทำคลิปออกมาให้เรียล,สนุก, ทุ่มทุนสร้างที่สุด,สร้างความแตกต่าง 
ทำงานในลักษณะเหมือนทางช่อง (Aom_chr) หยิบจับสินค้าเอง 
ทำคลิปนี้ขึ้นมาเอง
โดยไม่มีสปอน ไม่มีการจ้าง อารมณ์ประมาณนี้ค่ะ ",,,,,
MACRO,"Lifestyle, Beauty",paengmoji,ติดต่องานIG :PPPANGIE ),262.8K,,,,,,
MICRO,"Lifestyle, Beauty",tussyfeelspecial,lin.ee/hkjbxZW,58.5K,,,,,,
MICRO,"Lifestyle, Travel", tina_janeti,ติดต่องานID LINE:janetina_jane,42.3K,"2,500",,,,,
MICRO,Lifestyle,aoi.srwz,ติดต่องาน DM IG,"
42.7K","2,500",,,,,
MICRO,Lifestyle,chayadazzz42,ติดต่องาน👉🏻IG:chayamiwww,"16,500","2,500",,,,,
MICRO,Lifestyle,kemmyreview24,IG: เข็มมี่รีวิว24 For Work : kem123468,"58,400","3,500",,,,,
MICRO,Lifestyle,bentenntn,ติดต่องาน line: bentenntn,"21,600","5,500",,,,,
MICRO,Lifestyle,khunkhaohoms,เจ้าที่ติดแกลม💅 ติดต่องาน @002ofjcn,76.8K,"5,000",,,,,
MICRO,Lifestyle,mark.thanet,,"24,600","- VDO TIKTOK + Gencode 
= 8,000/คลิป",,,,,
MICRO,Lifestyle,solly.mrc,ติดต่องาน อจ : solly.mrc,"64,300",3000 บาท/สินค้า,,,,,
MICRO,Lifestyle,pnxxtiffy,,"18,000","4,500",,,,,
MICRO,Lifestyle,fairyqodmother,,"71,800","6,000",,,,,
MICRO,Lifestyle,t.monsicha,,"21,200","4,000",,,,,
MICRO,Lifestyle,gracenarada,,"18,600","4,500",,,,,
MICRO,Lifestyle,nutchanokc,,"43,110","3,500",,,,,
MICRO,Lifestyle,mamasecretfamily,,"32,300",,,,,,
MICRO,"Lifestyle, mon",a.tomtam,openlink.co/a.tomtam,"59,200","3,500",,,,,
MICRO,Lifestyle,maimaimuan_,,"16,900",,,,,,
MICRO,Lifestyle,sstwins_diary,,"11,000",,,,,,
MICRO,Lifestyle,pre_pan,For work LineOA: @prepan,"29,100","10,000",,,,,
MICRO,Lifestyle,waternam.j,,"52,800",,,,,,
MICRO,"Lifestyle, mon",sstwins_diary,,"11,000",,,,,,
MICRO,"Lifestyle, POV",fanrakk,,"14,800",,,,,,
MICRO,"Lifestyle, POV",arthurlori,https://line.me/ti/p/D2eE22MNoS,"81,900","🌟 วิดีโอสั้น Tiktok ไม่เกิน 90 วิ 20,000 บาท แถมลง IG reels!! (ราคานี้มีป้าติ๊บซี่มาร่วมระเบิดพัดในคลิป หรือพี่โจ๊กแฟนสุดแบ๊วของเธอร์ค่ะ)
*Gen Code ฟรี 30 วัน เพิ่มเติม 3,000/30 วัน
**ปักตะกร้า 3000 บาท

🌟🌟🌟🌟
เพิ่มสมาชิกคนละ 5000 บาท
นำ asset ไปใช้ต่อ 10,000 บาท/ชิ้นงาน/ใช้ได้ตลอด
เพิ่มเงิน 3,000 - 6,000 บาทสำหรับการออกนอกสถานที่ตามที่ลูกค้า request 
เสื้อผ้าหน้าผมอลังการ ตัดใหม่ตามลูกค้า request ชุดละ 15,000 บาท
🌟🌟🌟🌟

Condition การทำงาน
- ทุกงานสามารถแก้ไข script ก่อนถ่ายทำได้ 1 ครั้ง
- ทุกงานสามารถแก้ไขชิ้นงานได้ 2 ครั้ง เช่น การเลือกซีน การตัดต่อ การใส่ข้อความ (หากเกินครั้งที่ 2 คิดค่าแก้ไขงานครั้งละ 1000 บาท)
- เลื่อนการโพสต์งานได้ 1 ครั้ง เพิ่มเติมครั้งละ 5000 บาท
- แต่ถ้าหากลูกค้าต้องการให้ถ่ายใหม่ ทางช่องจะขอคิดเงินเพิ่ม 100% ของใบเสนอราคา",,,,,
MACRO,Lifestyle, isnotfone,Inquiries : LINE : @694bvfjf,"298,800","- Rate Card สำหรับการ Review ลงช่อง Tiktok 
- Rate Card สำหรับเหมา 3-5 คลิป=คลิปละ35,000
- Gen code=30วัน 5,000
- ราคาสำหรับ Boost Post
- ซื้อ Asset=37,000
- ติดตะกร้า=2,000/1ชิ้น
- แก้งานได้กี่รอบ=2ครั้งหากเกินครั้งละ1,500
- เครดิตเทอมกี่วัน=30-45วันครับ
เรทราคาเดือนสิงหาคม 2025 ",,,,,
MACRO,"Lifestyle, POV", f_u_i_, lin.ee/F7aaNtj,"200,800"," 🟢 ลงช่องทาง TikTok 
▫️ 38,000฿ (net)
 🟢 ลงช่องทาง IG Reels (แถม FB Reels)
▫️ 32,000฿ 
 🟢🔥 ลงทุกช่องทาง TikTok+ IG Reels + FB 
▫️ 42,000฿
สามารถดูตัวอย่าง Tie in และ Demographic 
ได้ที่Link : fuistudio.my.canva.site/demographic     
🔘 Condition 
▪️ คลิป TikTok Gencode ฟรี 30 วัน
▪️ หากลูกค้าต้องการซื้อ Asset : 1-3 เดือน 5,000.- /4 เดือน-1 ปี 10,000.- / ถาวร 15,000.-
▪️บริการแชร์ไปที่ Story ของทุกช่องทาง IG,FB,TT ช่องทางละ 2 Story
▪️ ถ่ายนอกสถานที่ กทม. 1,500.- เขตปริมณฑลหรือต่างจังหวัดอาจมีค่าใช้จ่ายเพิ่มเติมค่ะ
▪️ ติดตะกร้า 1SKU 3,000.- / 2 SKU 5,000.-
▪️ ระยะเวลาเก็บโพส 6 เดือนค่ะ แต่หากลูกค้าบูสจนมียอดคนดูเกิน 5 ล้าน เก็บไว้ถาวรค่ะ
▪️ กันแบรนด์ไลน์คู่แข่งให้ 15 วันค่ะ 

🔘 เงื่อนไขการรับชำระเงิน :
▪️ Confirm Job โดยมัดจำ 50% และชำระอีก 50% ในวันงานหรือวันโพส
(ในกรณีร่วมงานกันครั้งแรกต้องรบกวนด้วยนะคะ)
▪️ ทำจ่ายแบบบุคคล หัก3% 
▪️ ลูกค้าที่เคยร่วมงานเครดิตได้ 30 วันค่ะ

🔘 การแก้ไขงาน :
▪️ สามารถแก้ไข Story Idea ได้ 1 ครั้ง
▪️ สามารถแก้ไข Clip ได้ 2 ครั้ง
▪️ แก้ไขเพิ่มเติมมีค่าใช้จ่าย ครั้งละ 1,000.-
เรทราคาเดือนสิงหาคม 2025 ",,,,,
MEGA,Lifestyle,bewvaraporn,💚 For work 💫 Line: @bewvaraporn,"2,400,000","🎞Rate card : Bew Varaporn 
✔️เรทรีวิวคลิปสั้น > มี 4 ช่องทาง 

💟 Tiktok : Bew Varaporn (แนวไลฟสไตล์ รีวิวสินค้า Vlog ชีวิตประจำวัน ท่องเที่ยว อีเว้น)
https://www.tiktok.com/@bewvaraporn?_t=8qAsnEZbUns&_r=1

> 100,000 บาท

💖 IG : Bew Varaporn 
> 100,000 บาท

💙 Facebook : Bew Varaporn 
> 100,000 บาท

♥️ YouTube Shorts
> 140,000 บาท

💕 IG Story: Bew Varaporn 
รีวิวสินค้า สตอรี่ละ 40,000 บาท
รีวิวสินค้า & แปะลิงก์สินค้า สตอรี่ละ 50,000 บาท

➡️ เงื่อนไขเพิ่มเติม:

🧺Affiliate + 25,000 บาท

📦 เรทราคา Tie in ต่อ 1 โปรดักส์ 
> ชิ้นต่อไป + ชิ้นละ 25,000 บาท



🚘 ถ้ารีเควสเป็นคลิปที่ต้องเดินทางไปถ่ายทำที่ Event ที่ร้านหรือถ่ายนอกสถานที่
- ในกรุงเทพ = 45,000
- ต่างจังหวัด = 80,000
- ต่างประเทศ = คิดค่าใช้จ่ายตามจริง เช่น ค่าตั๋ว ค่าที่พัก ค่าอาหาร ค่าทีมงาน


👨‍👩‍👧‍👦👩‍❤️‍👨 ถ้ารีเควสในคลิปช่วงที่รีวิวต้องมีคนในครอบครัว
- TaninS = 35,000 
- น้อง Benni + 55,000 บาท
-TaninS & Baby = 80,000 บาท
- คุณแม่ = 20,000 
-  Bow Kanyarat = 25,000
- กล้วยหอมแรคคูน = 25,000


🕑 ถ้ามีการให้ทดลองใช้สินค้าและเก็บผลรีวิว Before & After
- 7 days = 14,000 
- 14 days = 28,000
- 30 days = 60,000 

➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖

📌เงื่อนไขการนำ Asset ของทางช่องไปใช้ต่อช่องทาง Media ของแบรนด์

ทางแบรนด์นำคลิปหรือรูป ไป Repost / Reupload / ซื้อ Ad โฆษณา ช่องทางออนไลน์ของแบรนด์

➖ คลิปวีดิโอ 85,000 บาท ระยะเวลา 1 เดือน
**หากนำไปใช้มากกว่า 1 เดือน รบกวนแจ้งมาได้เลยนะคะ จะมีการคิดเรทพิเศษให้ค่ะ

🚫หากทางแบรนด์ต้องการนำคลิปวีดีโอของทางช่องไปใช้ต่อแบบซื้อขาดเลยตรงนี้ทางช่องจะไม่สะดวกนะคะ

__________________________________________

📌เงื่อนไขการ Boost post: 

- ทางช่องจะ Add ให้ทางแบรนด์ลูกค้า Add advertiser แล้วเข้ามาจัดการบูสโฆษณา

- Add advertiser FB หรือ IG จับมือกับแบรนด์ : 30,000 บาท/เดือน

- Branded content IG หรือ FB : 35,000 บาท/เดือน

- Gen code on TikTok : 35,000 บาท/เดือน
__________________________

✨คลิปสั้น (ความยาว 1-3 นาที)
ส่ง 1st draft ให้หลัง approve script 
ประมาณ 5 วัน

✨หลังจากนั้นแก้ไขได้ 1 ครั้ง 
ตาม Script ที่ Approve มา
ใช้เวลาแก้ไข 3 วันค่ะ

🚫หากมีการถ่ายใหม่จะมีค่าใช้จ่ายเพิ่มซีนละ 20% ของมูลค่างาน
เรทราคาเดือน พฤษภาคม 2025",,,,,
